candidate_number,center_number,center_location,points,is_nssac,subject_count
23OC060013,23,OC,10,False,5
23OC050049,23,OC,25,False,6
23OC050050,23,OC,13,False,6
23OC050051,23,OC,21,False,5
23OC060015,23,OC,16,False,5
23OC050052,23,OC,21,False,5
23OC060016,23,OC,21,False,5
23OC050053,23,OC,13,False,5
23OC050054,23,OC,28,False,6
23OC060020,23,OC,18,False,6
23OC050058,23,OC,17,False,6
23OC050059,23,OC,19,False,6
23OC060022,23,OC,13,False,5
23OC050061,23,OC,23,False,6
23OC050062,23,OC,27,False,5
23OC060024,23,OC,8,False,6
23OC050063,23,OC,21,False,5
23OC060025,23,OC,18,False,6
23OC050064,23,OC,15,False,5
23OC060026,23,OC,6,False,5
23OC050065,23,OC,16,False,5
23OC050066,23,OC,22,False,6
23OC060028,23,OC,31,False,6
23OC050068,23,OC,11,False,5
23OC060029,23,OC,21,False,6
23OC050069,23,OC,30,False,6
23OC060031,23,OC,16,False,5
23OC060034,23,OC,15,False,5
23OC050076,23,OC,21,False,5
23OC060035,23,OC,18,False,5
23OC050077,23,OC,22,False,5
23OC060036,23,OC,9,False,5
